osmid,latitude,longitude
42430118,40.7190194,-74.0051717
42430122,40.7198568,-74.0051934
42430126,40.7206388,-74.0052198
42430131,40.721025,-74.005248
42430136,40.7222274,-74.0053546
42430143,40.723625,-74.004786
42430147,40.724173,-74.004575
42430154,40.725513,-74.004031
42430160,40.72625,-74.00373
42430164,40.726958,-74.003445
42430167,40.727664,-74.003155
42430187,40.7297532,-74.0021622
42430205,40.7305503,-74.0017
42430217,40.7310625,-74.0014113
42430231,40.731706,-74.000954
42430233,40.732315,-74.000511
42430235,40.732929,-74.000066
42430237,40.7336634,-73.9995234
42430241,40.734784,-73.998714
42430247,40.735391,-73.998274
42430249,40.736032,-73.997805
42430253,40.737361,-73.99684
42430255,40.738044,-73.996337
42430257,40.738686,-73.995874
42430259,40.739272,-73.995446
42430263,40.740442,-73.994593
42430265,40.7416174,-73.9937398
42430269,40.7422328,-73.9932916
42430271,40.742901,-73.992805
42430274,40.744186,-73.991871
42430277,40.7448072,-73.9914152
42430279,40.745421,-73.990968
42430282,40.746038,-73.990518
42430288,40.747277,-73.989617
42430292,40.7478958,-73.9891568
42430295,40.7485163,-73.9887
42430298,40.7491303,-73.9882543
42430304,40.7497931,-73.9877663
42430308,40.7504574,-73.9872874
42430311,40.751088,-73.9868238
42430314,40.7517,-73.986399
42430317,40.752317,-73.985947
42430320,40.752935,-73.985488
42430324,40.7535585,-73.9850397
42430329,40.754177,-73.984596
42430333,40.754842,-73.984118
42430338,40.755516,-73.983624
42430342,40.7561421,-73.9831665
42430344,40.7567712,-73.9827118
42430347,40.7573902,-73.9822537
42430350,40.7580163,-73.9817975
42430352,40.758645,-73.981341
42430356,40.7592744,-73.9808828
42430358,40.7599106,-73.9804176
42430361,40.7605248,-73.9799722
42430363,40.7611421,-73.9795173
42430367,40.761771,-73.979057
42430371,40.762396,-73.978601
42430375,40.763023,-73.9781397
42430378,40.7636462,-73.9776851
42430384,40.764324,-73.977196
42430390,40.7650275,-73.9766802
42430394,40.7656797,-73.976244
42430468,40.7283942,-74.0030858
42430474,40.7910468,-73.9513728
42430477,40.7903176,-73.9496351
42430479,40.7896812,-73.9481484
42430482,40.7889961,-73.9465562
42430485,40.7880644,-73.9443246
42430488,40.7870603,-73.9419364
42430519,40.7174635,-74.0106317
42430521,40.7174024,-74.0100927
42430529,40.7172851,-74.0090579
42430535,40.7141186,-74.0034172
42430550,40.716013,-74.0070959
42430557,40.7166018,-74.0083657
42430571,40.7169452,-74.0091064
42430589,40.7489096,-74.0069985
42430594,40.7501781,-74.0060705
42430597,40.7507886,-74.0056363
42430600,40.7513932,-74.0051843
42430603,40.7520155,-74.0047377
42430607,40.7532728,-74.003806
42430629,40.7551201,-74.0024742
42430633,40.7557911,-74.0019943
42430639,40.7564655,-74.0015087
42430643,40.7570801,-74.0010659
42430646,40.7576816,-74.0006308
42430651,40.7582984,-74.0001819
42430664,40.7595233,-73.9992328
42430669,40.7601488,-73.9988039
42430673,40.7608279,-73.9983286
42430677,40.7615047,-73.9978445
42430680,40.7621219,-73.9973838
42430685,40.7627499,-73.9969249
42430688,40.7633783,-73.9964573
42430691,40.7640036,-73.9960052
42430694,40.7646309,-73.9955449
42430698,40.7652542,-73.9950835
42430704,40.7658858,-73.9946355
42430707,40.766505,-73.994173
42430713,40.7671343,-73.9937004
42430722,40.7677405,-73.9932635
42430736,40.7683937,-73.9927954
42430739,40.7690142,-73.9923444
42430742,40.7696438,-73.9918904
42430745,40.7703191,-73.991402
42430747,40.7709804,-73.990923
42430749,40.7716213,-73.9904588
42430761,40.7294709,-74.0051447
42430770,40.730321,-74.004688
42430782,40.730719,-74.00446
42430791,40.7311289,-74.0042257
42430796,40.7318924,-74.0037892
42430803,40.7332265,-74.0030292
42430805,40.7336094,-74.0028114
42430811,40.7343413,-74.002395
42430813,40.7350834,-74.0019682
42430818,40.7355352,-74.0016967
42430824,40.7357944,-74.0015452
42430828,40.736564,-74.001095
42430848,40.7094091,-74.0051183
42430857,40.7334469,-73.9955052
42430861,40.732731,-73.993814
42430872,40.7312807,-73.9903509
42430886,40.7307238,-73.9890529
42430898,40.729779,-73.986812
42430903,40.7287826,-73.9844396
42430914,40.727846,-73.982228
42430924,40.726866,-73.979906
42430938,40.7258829,-73.9775364
42430942,40.724877,-73.975164
42430945,40.7241822,-73.9735174
42430951,40.850645,-73.937365
42430973,40.7175925,-73.9754056
42430981,40.7734934,-73.9890921
42430983,40.7741202,-73.9886361
42430984,40.7747491,-73.9881847
42430985,40.7753835,-73.9877347
42430989,40.7760287,-73.9872606
42431000,40.778488,-73.9854454
42431002,40.7791214,-73.9849974
42431004,40.7798073,-73.9844842
42431005,40.7804962,-73.9839851
42431007,40.781134,-73.9835331
42431008,40.7817679,-73.9830719
42431009,40.7823951,-73.9825954
42431015,40.7830301,-73.9821288
42431019,40.7843497,-73.9811702
42431024,40.785659,-73.9802226
42431027,40.7862926,-73.9797618
42431030,40.7869385,-73.9792937
42431034,40.7882062,-73.9783679
42431037,40.7888872,-73.9778627
42431039,40.7895643,-73.9773733
42431044,40.7901743,-73.9769232
42431057,40.7914402,-73.9760046
42431067,40.7920701,-73.9755518
42431078,40.7927034,-73.9750856
42431089,40.7933298,-73.9746245
42431094,40.7939559,-73.974163
42431096,40.7945783,-73.9737042
42431099,40.7952575,-73.9732137
42431102,40.7959386,-73.9727178
42431104,40.7965558,-73.9722592
42431106,40.7971914,-73.971808
42431107,40.7978216,-73.9713467
42431108,40.7984506,-73.9708877
42431111,40.7990808,-73.9704307
42431113,40.7996987,-73.9699736
42431116,40.8003317,-73.9695099
42431118,40.8009593,-73.9690678
42431121,40.8023337,-73.9681074
42431151,40.7396572,-74.0063902
42431154,40.7402946,-74.0079644
